parametro,valor
Tipo de Modelo,Red Neuronal Artificial (MLP) de 3 Capas
Capas Ocultas (hidden_units),"Capa 1: 64 Neuronas, Capa 2: 32 Neuronas"
Función de Activación Oculta,Sigmoide (Múltiples regresiones logísticas paralelas)
Tasa de Aprendizaje Inicial,0.1
Regularización L2 (lambda),0.001
Épocas de Entrenamiento,1000
Muestras de Train Final (80%),2664
Muestras de Test Final (20%),660
Accuracy Promedio Folds (CV),77.958
Accuracy Final Train Set,90.7658
Accuracy Final Test Set,89.5455
Loss Final Train Set,0.228174
Loss Final Test Set,0.234502
